acc. date,type,reg.,operator,fat.,location
03-Oct-17,Antonov An-28,UP-A2807,East Wing,5,28 km WNW of Almaty Airport (ALA)
04-Oct-17,Antonov An-32B,AT-530,Servicio Aeronaval de la Marina Peru,0,Mazamari-Manuel Prado Ugarteche Aiport
04-Oct-17,de Havilland Canada DHC-6 Twin Otter 300,8Q-ISB,Maldivian,0,off Malé-Velana International Airport (MLE)
07-Oct-17,ATR 42-500,SX-GRI,Sky Express,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV)
07-Oct-17,Cessna 208B Grand Caravan,5Y-BNH,"Penial Air, opf Sigale Air",0,Xuddur Airport
12-Oct-17,Embraer EMB-120ER Brasilia,D2-FDO,Guicango,7,119 km SW of Dundo
13-Oct-17,Airbus A320-214,RP-C3237,Cebu Pacific Air,0,Iloilo International Airport (ILO)
14-Oct-17,Boeing 737-838 (WL),VH-VZZ,Qantas,0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)"
14-Oct-17,Beechcraft 1900D,C-GORZ,Exploits Valley Air Services,0,"Moncton/Greater Moncton International Airport, NB (YQM)"
14-Oct-17,Antonov An-26-100,ER-AVB,Valan International Cargo Charter,4,"0,8 km S off Abidjan-Felix Houphouet Boigny Airport (ABJ/DIAP)"
15-Oct-17,Boeing 767-328ER,N342AX,Omni Air International,0,"117 km from Honolulu, HI"
16-Oct-17,British Aerospace 4100 Jetstream 41,G-MAJC,Eastern Airways,0,Chester/Hawarden Airport (CEG/EGNR)
17-Oct-17,Cessna 208 Caravan I,PR-MPE,Greenpeace Brasil,1,"Rio Negro, Parque Nacional de Anavilhanas, AM"
18-Oct-17,Boeing 737-8JP (WL),EI-FJJ,Norwegian Air International,0,Aproximación al aeropuerto de Alicante
19-Oct-17,Beechcraft 200C Super King Air,OB-2077-P,Air Majoro,1,near Nuevo Saposoa
21-Oct-17,Beechcraft B200 King Air,N363JH,Bering Air,0,"Anchorage-Ted Stevens International Airport, AK (ANC)"
21-Oct-17,Beechcraft 200 Super King Air,C-GFSG,Transwest Air,0,"Prince Albert Airport, SK (YPA)"
22-Oct-17,Boeing 737-86N (WL),JA03GR,Spring Airlines Japan,0,40km east-northeast of Kumamoto Airport (KMJ/RJFT)
24-Oct-17,Boeing 737-8GP (WL),PK-LBY,Batik Air,0,SE of Medan
24-Oct-17,ATR 72-212 (F),OY-CNJ,Mistral Air,0,Roma-Fiumicino Airport (FCO)
25-Oct-17,Cessna 208B Grand Caravan,5H-THR,Coastal Aviation,0,Lobo Wildlife Lodge Airstrip
27-Oct-17,Cessna 560 Citation V,N561VP,Private Jets LLC,0,"Akron/Canton Regional Airport, OH (CAK)"
27-Oct-17,Beechcraft B200 Super King Air,VH-LNK,Eastern Air Services,0,"Lord Howe Island Airport, NSW (LDH)"
29-Oct-17,Cessna 550 Citation Bravo,RA-67560,Tropic,0,Bremen Airport (BRE/EDDW)
30-Oct-17,Boeing 767-338ER (WL),C-FOGT,WestJet,0,Toronto - London
02-Nov-17,Fairchild SA227-AC Metro III,C-FLRY,Perimeter Aviation,0,"Thompson Airport, MB (YTH)"
06-Nov-17,Cessna 208B Grand Caravan,C-FAKZ,Alkan Air,0,"Coffee Creek, YT"
07-Nov-17,Antonov An-2,RA-02305,DalTransAero,1,"Ekimchan, Amur region"
08-Nov-17,Avro RJ85,ZS-ASW,Airlink,0,over Limpopo province
09-Nov-17,de Havilland Canada DHC-8-402Q Dash 8,C-GYJZ,"Air Canada Express, opb Jazz Aviation",0,"Toronto City-Billy Bishop Airport, ON (YTZ)"
10-Nov-17,de Havilland Canada DHC-8-402Q Dash 8,G-JEDU,Flybe,0,Belfast International Airport (BFS/EGAA)
11-Nov-17,Boeing 747-428FER,TC-ACR,"Saudi Arabian Airlines, opb ACT Airlines",0,Maastricht/Aachen Airport (MST)
15-Nov-17,Cessna 208B Grand Caravan,5H-EGG,Coastal Aviation,11,Empakaai area
15-Nov-17,Let L-410UVP-E20,RA-67047,Khabarovsk Avia,6,"1,2 km SSW of Nelkan Airport"
16-Nov-17,Embraer ERJ-170LR,F-HBXO,"HOP!, opf Air France",0,Toulouse–Blagnac Airport (TLS/LFBO)
16-Nov-17,de Havilland Canada DHC-6 Twin Otter 200HG,8Q-IAG,Maldivian,0,Dhaalu Atoll
17-Nov-17,Cessna 208B Grand Caravan,V3-HGX,Tropic Air,0,E off Placencia Airport (PLJ)
19-Nov-17,Boeing 737-7H4,N740SW,Southwest Airlines,0,"Los Angeles, CA"
19-Nov-17,ATR 72-600 (72-212A),VH-FVZ,Virgin Australia Airlines,0,"Canberra Airport, ACT (CBR/YSCB)"
22-Nov-17,Hawker Beechcraft 390 Premier IA,ZS-CBI,Multimanaged Investments Pty,0,Johannesburg/Germiston-Rand Airport (QRA)
22-Nov-17,Grumman C-2A Greyhound,162175,United States Navy,3,SE off Okinawa
25-Nov-17,ATR 72-500 (72-212A),9G-SBF,Starbow,0,Accra-Kotoka Airport (ACC)
27-Nov-17,Boeing 777-36NER,SU-GDL,EgyptAir,0,"New York-John F. Kennedy International Airport, NY (JFK)"
27-Nov-17,Airbus A330-343,G-VRAY,Virgin Atlantic Airways,0,"New York-John F. Kennedy International Airport, NY (JFK)"
27-Nov-17,Embraer EMB-550 Legacy 500,RA-02788,L39 Engineering,0,Paris-Le Bourget Airport (LBG)
28-Nov-17,Boeing 757-224 (WL),N14115,United Airlines,0,over Antioquia
28-Nov-17,de Havilland Canada DHC-6 Twin Otter 300,9N-ABM,Tara Air,0,Simikot Airport (IMK)
29-Nov-17,Boeing 777-212ER,9V-SQK,Singapore Airlines,0,Singapore-Changi International Airport (SIN)
01-Dec-17,Airbus A319-111,G-EZFP,Easyjet,0,"Jersey-States Airport, Channel Islands (JER/EGJJ)"
02-Dec-17,Boeing 777-35EER,B-16718,Eva Air,0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)"
03-Dec-17,Boeing 737-823 (WL),N344PP,American Airlines,0,"Miami International Airport, FL (MIA)"
03-Dec-17,Airbus A319-115 (WL),N9011P,American Airlines,0,"Miami International Airport, FL (MIA)"
04-Dec-17,Canadair CL-600-2A12 Challenger 601,N45WL,Private,0,Caracas-Simón Bolívar International Airport (CCS/SVMI)
06-Dec-17,Airbus A321-231,N670NK,Spirit Airlines,0,"Fort Lauderdale International Airport, FL (FLL/KFLL)"
08-Dec-17,GAF Nomad N.22C,VH-ATO,Bayswater Road Pty Ltd / Australian Aerial Mapping,0,Buka Airport (BUA)
08-Dec-17,Airbus A321-231,A7-AIB,Qatar Airways,0,Doha-Hamad International Airport (DOH)
12-Dec-17,McDonnell Douglas MD-88,N924DL,Delta Air Lines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)"
13-Dec-17,ATR 42-320,C-GWEA,West Wind Aviation,1,"1,5 km W of Fond-du-Lac Airport, SK (ZFD)"
14-Dec-17,Cessna 510 Citation Mustang,OE-FWD,Skytaxi Luftfahrt,3,"Sieberatsreute, Waldburg"
17-Dec-17,Embraer ERJ-170-200LR,N128SY,"United Express, opb SkyWest Airlines",0,"near Saint Louis, Missouri"
19-Dec-17,Antonov TVS-2MS,RA-01460,Naryan-Mar Air Enterprise,4,Naryan-Mar Airport (NNM)
22-Dec-17,Embraer EMB-145EP (ERJ-145EP),G-CKAG,bmi regional,0,Bristol Airport (BRS/EGGD)
23-Dec-17,McDonnell Douglas DC-9-33F,N935CE,Everts Air Cargo,0,"between Anchorage and Bethel, AK"
23-Dec-17,Britten-Norman BN-2A Islander,P2-ISM,North Coast Aviation,1,"11,3 km S of Dinangat Village"
27-Dec-17,Dassault Falcon 7X,VP-BZE,"Flying Lion's Co., Ltd.",0,Malta-Luqa Airport (MLA)
27-Dec-17,Cessna 525A CitationJet CJ2,N525KT,"Van E Aviation LLC, opb Integrated Flight Resources Inc.",0,"Michigan City Airport, IN (MGC)"
31-Dec-17,Cessna 208B Grand Caravan,TI-BEI,Nature Air,12,"0,6 km N of Punta Islita Airport (PBP)"
02-Jan-16,Cessna 208B Grand Caravan,N540ME,Wright Air Service,0,"10 km SW of Anaktuvuk Pass Airport, AK (AKP)"
03-Jan-16,Embraer ERJ-170SE,N643RW,"United Express, opb Shuttle America",0,"Raleigh, North Carolina"
03-Jan-16,Canadair CL-600-2C10 Regional Jet CRJ-702,N164GJ,"United Express, opb GoJet Airlines",0,"Chicago-O'Hare International Airport, IL (ORD)"
04-Jan-16,Beechcraft 200 Super King Air,N275X,Skyway Aircraft Inc.,0,"St. Petersburg-Clearwater International Airport, FL (PIE)"
05-Jan-16,Basler BT-67 Turbo 67 (AC-47T),FAC-1658,Fuerza Aérea Colombiana,0,Tres Esquinas Air Base (TQS)
08-Jan-16,Canadair CL-600-2B19 Regional Jet CRJ-200PF,SE-DUX,West Air Sweden,2,near Oajevágge
09-Jan-16,ATR 72-500 (72-212A),PR-PDD,Passaredo Linhas Aéreas,0,"Rondonópolis-Maestro Marinho Franco Airport, MT (ROO)"
10-Jan-16,Beechcraft B200 Super King Air,N87SA,Island Airlines LLC,0,San Juan-Luis Muñoz Marín International Airport (SJU)
14-Jan-16,Airbus A319-112,V5-ANL,Air Namibia,0,near Windhoek-Hosea Kutako International Airport (WDH)
15-Jan-16,Cessna 208B Grand Caravan,N104AN,Grant Aviation,0,"Hooper Bay Airport, AK (HPB)"
17-Jan-16,IRMA/Britten-Norman BN-2A-21 Islander,(N90460),Unknown,0,Corral Viejo
18-Jan-16,Dassault Falcon 20F-5,N706SB,Sterling LIHTC LLC,0,"Scottsdale Airport, AZ (SCF)"
18-Jan-16,Cessna 525 CitationJet,N711BX,Private,2,"1,9 km SW of Cedar Fort, UT"
20-Jan-16,de Havilland Canada DHC-6 Twin Otter 300,C-GCKB,Kenn Borek Air,0,Amundsen-Scott South Pole Station
21-Jan-16,Cessna 560XL Citation Excel,C-GCXL,Airsprint,0,"Toronto-Pearson International Airport, ON (YYZ)"
24-Jan-16,McDonnell Douglas MD-88,N908DE,Delta Air Lines,0,"Newark Liberty International Airport, NJ (ERW/KEWR)"
28-Jan-16,Boeing 737-7H4,N718SW,Southwest Airlines,0,"Titusville, FL"
28-Jan-16,Swearingen SA227-AC Metro III,LV-BGR,Milenium Air,0,"San Fernando, BA"
28-Jan-16,McDonnell Douglas MD-83,EP-ZAB,Zagros Air,0,Mashhad Airport (MHD)
28-Jan-16,Cessna 208 Caravan I,VH-WTY,Hamilton Island Air,0,"Chance Bay, Whitsunday Island, QLD"
30-Jan-16,Rockwell Sabreliner 80,N380CF,private,0,Querétaro Airport (QRO)
02-Feb-16,Airbus A321-111,SX-BHS,"Daallo Airlines, lsf Hermes Airlines",1,near Mogadishu International Airport (MGQ)
04-Feb-16,Beechcraft B100 King Air,C-GSWG,Max Aviation,0,"Montreal-St. Hubert Airport, QC (YHU)"
04-Feb-16,Bombardier CRJ-900ER,OY-KFC,"Scandinavian Airlines System - SAS, opb Cimber",0,København-Kastrup Airport (CPH)
06-Feb-16,Antonov An-2R,RA-40204,Light Air,3,"Gay, Orenburg Oblast"
07-Feb-16,Cessna 525A CitationJet CJ2,D-ISCO,Windrose Air Jetcharter,0,Chambéry Airport (CMF)
10-Feb-16,Beechcraft 1900D,4601,Tatmadaw Lei (Myanmar Air Force),5,"0,6 km N of Naypyidaw International Airport (NYT)"
12-Feb-16,Lockheed L-100-30 Hercules,N401LC,Lynden Air Cargo,0,"near Iliamna, AK"
14-Feb-16,Airbus A321-132,N827AW,American Airlines,0,"Minneapolis, Minnesota"
17-Feb-16,Boeing 737-823 (WL),N925NN,American Airlines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW)"
17-Feb-16,Boeing 737-7H4 (WL),N784SW,Southwest Airlines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW)"
20-Feb-16,Cessna 525 Citation M2,N214RT,private,0,"Orlando International Airport, FL (MCO)"
23-Feb-16,Boeing 737-846 (WL),JA322J,Japan Airlines (JAL),0,Sapporo-New Chitose Airport (CTS/RJCC)
23-Feb-16,Embraer EMB-145MP (ERJ-145MP),N856HK,Trans States Airlines,0,"Saint Louis-Lambert International Airport, MO (STL)"
24-Feb-16,Viking Air DHC-6 Twin Otter 400,9N-AHH,Tara Air,23,"Dana, Myagdi district"
26-Feb-16,IPTN/CASA CN-235M-VIP,M44-07,Royal Malaysian Air Force - RMAF,0,off Kuala Selangor
02-Mar-16,Beechcraft 99A Airliner,N198WA,Wiggins Airways,0,"near Bangor, ME"
03-Mar-16,Boeing 737-95R,VT-JGD,Jet Airways,0,Mumbai-Chhatrapati Shivaji International Airport (BOM)
03-Mar-16,Cessna 208 Caravan I,3004,South African Air Force - SAAF,0,near Langebaanweg Air Force Base
05-Mar-16,Boeing 767-34AFER (WL),N305UP,United Parcel Service - UPS,0,"Albuquerque Sunport Airport, NM (ABQ)"
05-Mar-16,Beechcraft B300 King Air 350,N6351V,United States Army,0,near Kawrgosk
09-Mar-16,Antonov An-26B,S2-AGZ,True Aviation,3,3 km W off Cox's Bazar Airport (CXB)
13-Mar-16,Britten-Norman BN-2B-20 Islander,VP-ACT,Anguilla Air Services,0,Saint-Barthélémy Airport (SBH)
14-Mar-16,Boeing 737-724 (WL),N23708,United Airlines,0,"Port Arthur, Texas"
14-Mar-16,Raytheon Beechjet 400A,N465FL,Flight Options,0,"Rome-Richard B Russell Airport, GA (RMG)"
15-Mar-16,IAI Arava 201,E-206,Aviación del Ejército Ecuatoriana - AEE,22,"Hacienda la Palmira, Pastaza"
16-Mar-16,Cessna AC-208B Combat Caravan,YI-119,Al Quwwat al Jawwiya al Iraqiya (Iraqi Air Force),3,Hawijah
18-Mar-16,Beechcraft 1900D,AP-BII,Aircraft Sales & Services Limited - ASSL,0,Karachi-Jinnah International Airport (KHI)
19-Mar-16,Boeing 737-8KN (WL),A6-FDN,flydubai,62,Rostov Airport (ROV)
22-Mar-16,Swearingen SA226-TC Metro II,LV-ZEB,CEDMA Aviación,0,"Río Grande Airport, TF (RGA)"
23-Mar-16,Avro RJ85,EI-RJG,CityJet,0,Florence-Peretola Airport (FLR)
25-Mar-16,Embraer ERJ-190AR (ERJ-190-100 IGW),N273JB,JetBlue Airways,0,Nassau-Lynden Pindling International Airport (NAS)
27-Mar-16,Fokker 100,UP-F1012,Bek Air,0,Astana International Airport (TSE)
29-Mar-16,Antonov An-26RT,09 blue,Russian Air Force,0,Rostov Airport (ROV)
29-Mar-16,Airbus A320-232,SU-GCB,EgyptAir,0,Larnaca Airport (LCA)
01-Apr-16,Cessna 208B Grand Caravan,XA-ULU,Aéreo Servicios Empresariales,3,111 km W of Durango-Guadalupe Victoria Airport (DGO)
03-Apr-16,Antonov An-2R,RA-54828,Technoservice-A,0,"1 km E of Aksarino, Zainsky district"
04-Apr-16,Cessna 208B Grand Caravan,PR-CRF,Two Táxi Aéreo,0,"ca 6,5 km W of Macapá Internacional Airport, AP (MCP)"
04-Apr-16,ATR 42-600,PK-TNJ,TransNusa Aviation Mandiri,0,Jakarta-Halim Perdana Kusuma Airport (HLP)
04-Apr-16,Boeing 737-8GP (WL),PK-LBS,Batik Air,0,Jakarta-Halim Perdana Kusuma Airport (HLP)
06-Apr-16,Bombardier BD-700-1A10 Global 6000,9H-AMZ,Comlux Malta,0,Genève-Cointrin Airport (GVA)
06-Apr-16,Raytheon U-125 (Hawker 800),49-3043,Japan Air Self-Defense Force - JASDF,6,10 km N of Kanoya Air Base
07-Apr-16,Douglas C-47A-5-DK (DC-3),HK-2663,Aerolineas Llaneras - Arall,0,"2,6 km SW of Puerto Gaitán Airport"
09-Apr-16,de Havilland Canada DHC-6 Twin Otter 100,N122PM,Skydive San Marcos,0,"Fentress Airpark, TX"
13-Apr-16,PADC/Pilatus Britten-Norman BN-2T Islander,P2-SBC,Sunbird Aviation PNG,12,"1,2 km W of Kiunga Airport (UNG)"
14-Apr-16,Antonov An-2,,Unknown,1,"Maryevka, Pestravsky district"
20-Apr-16,Beechcraft 1900D,C-FEVA,"Air Canada Express, opb Exploits Valley Air Services",0,"Gander Airport, NL (YQX)"
21-Apr-16,Beechcraft 300 Super King Air,PT-MCM,Agropecuária Otura,0,"Porto Seguro-Terravista Golf Club Airport, BA"
24-Apr-16,Swearingen SA226-AT Merlin IVA,EC-GFK,Flightline,0,Gerona-Costa Brava Airport (GRO)
28-Apr-16,Canadair CL-600-2B19 Regional Jet CRJ-200ER,N961SW,"United Express, opb SkyWest Airlines",0,"San Francisco International Airport, CA (SFO)"
28-Apr-16,Embraer ERJ 190-100 IGW (ERJ-190AR),HC-COX,TAME Ecuador,0,Cuenca-Mariscal Lamar International Airport (CUE)
30-Apr-16,Antonov An-26,,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),5,near El Obeid Airport (EBD)
30-Apr-16,Fokker 50,SE-LEZ,"Air Vallée, opb Amapola Flyg",0,Catania-Fontanarossa Airport (CTA)
04-May-16,Airbus A330-243,A6-EYN,Etihad Airways,0,near Bangka Islands
05-May-16,Convair CV-580 Airtanker,C-FEKF,Conair Aviation,0,"Manning Airport, AB"
06-May-16,Antonov An-2R,N2AN,American Airpower Heritage Museum,0,"1,3 km N of San Bernardino International Airport, CA (SBD)"
07-May-16,ATR 72-600 (72-212A),VT-JCX,Jet Airways,0,Indore-Devi Ahilyabai Holkar Airport (IDR)
10-May-16,Beechcraft B100 King Air,N86TR,Dexter Air,0,"Dexter Municipal Airport, MO"
10-May-16,Airbus A321-211,N189UW,American Airlines,0,"Phoenix-Sky Harbor International Airport, AZ (PHX)"
11-May-16,Boeing 737-9GPER (WL),9M-LNK,Malindo Air,0,Kota Kinabalu Airport (BKI)
11-May-16,Boeing 777-328ER,F-GZNT,Air France,0,Paris-Charles de Gaulle Airport (CDG)
11-May-16,Airbus A320-214,F-GKXJ,Air France,0,Paris-Charles de Gaulle Airport (CDG)
12-May-16,Cessna 208B Grand Caravan,N1114A,Parachute Center,0,"ca 0,6 km E of Lodi Airport, CA"
14-May-16,Airbus A320-214,N103US,American Airlines,0,"Philadelphia, Pennsylvania"
14-May-16,Cessna 208 Caravan I,XB-NLX,SkyDive México,0,near Tequesquitengo
18-May-16,Antonov An-12B,4K-AZ25,Silk Way Airlines,7,Dwyer Airport (DWR)
19-May-16,Airbus A320-232,SU-GCC,EgyptAir,66,ca 200 km N of Egyptian coast
20-May-16,de Havilland Canada DHC-8-402Q Dash 8,D-ABQB,Air Berlin,0+1,Karlsruhe/Baden-Baden Airport (FKB/EDSB)
23-May-16,Cessna 501 Citation I/SP,N804ST,Eagle II Aero LLC,0,"near Texarkana, AR"
27-May-16,Boeing 777-3B5,HL7534,Korean Air,0,Tokyo-Haneda Airport (HND)
28-May-16,Airbus A320-214,EC-JGM,Vueling,0,Manchester Airport (MAN)
03-Jun-16,Cessna 208B Grand Caravan,5Y-JLL,Lady Lori (Kenya) Ltd,0,Akobo Airport (HSAK)
04-Jun-16,Antonov An-30A-100,TN-AHP,South Stone Airlines,0,Yambio Airport
04-Jun-16,Cessna 208B Grand Caravan EX,PK-ICC,Pegasus Air Services,0,Ilaga Airport (ILA)
04-Jun-16,Airbus A320-200,,,0,Stuttgart-Echterdingen Airport (STR/EDDS)
05-Jun-16,Boeing 737-932ER,N801DZ,Delta Air Lines,0,"Las Vegas, NV"
05-Jun-16,Cessna 208B Grand Caravan,N750Z,Air Choice One,0,"Fort Dodge Airport, IA (FOD)"
05-Jun-16,British Aerospace BAe-125-800B,RA-02773,Aerolimousine,0,18 km W of Neryungri Airport (NER)
06-Jun-16,Cessna 560 Citation Ultra,N145KK,Red Wing Aeroplane Company,0,"Gainesville-J R Alison Municipal Airport, FL (GNV)"
06-Jun-16,McDonnell Douglas MD-11F,N277UP,United Parcel Service - UPS,0,Seoul-Incheon International Airport (ICN)
12-Jun-16,Airbus A321-231,N104NN,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)"
14-Jun-16,ATR 72-600 (72-212A),PK-WGL,Wings Air,0,unknown
14-Jun-16,Cessna 208B Grand Caravan EX,PK-RKC,Associated Mission Aviation - AMA,0,"Lolat, Yahukimo, Papua"
14-Jun-16,Antonov An-32A,EK32120,"Coco Aviation, lsf Ayk Avia",0,Bor Airport
15-Jun-16,Embraer ERJ-195LR,EC-LKX,Air Europa,0,Madrid-Barajas Adolfo Suárez Airport (MAD/LEMD)
16-Jun-16,CASA C-212 Aviocar 400MPA,8983,Vietnam Coast Guard,9,ca 22 km SW off Bach Long Vi Island
19-Jun-16,de Havilland Canada DHC-3T Texas Turbine Otter,N104BM,Bald Mountain Air Services,0,"17 km NE of Homer-Beluga Lake Seaplane Base, AK"
19-Jun-16,British Aerospace BAe-146-300,EP-MOF,Mahan Air,0,Khark Airport (KHK)
21-Jun-16,Beechcraft 200C Super King Air,OB-2104-P,AerCaribe Peru,0,Lima-Jorge Chávez International Airport (LIM)
21-Jun-16,Dornier 228-202,9Q-CSL,Busy Bee Congo,0,Goma Airport (GOM)
26-Jun-16,Boeing 737-924ER (WL),N69806,United Airlines,0,"New Orleans, Louisiana"
26-Jun-16,Antonov An-2R,UP-A0273,Tamshybulak,1,Bereke
26-Jun-16,Canadair CL-215-1A10,1111,Elleniki Polemikí Aeroporía,0,near Dervenochoria
27-Jun-16,Boeing 777-312ER,9V-SWB,Singapore Airlines,0,Singapore-Changi International Airport (SIN)
30-Jun-16,Antonov An-2SX,RA-33462,Krasnokutske Flight School of Civil Aviation,2,"2 km from Novopokrovskoye, Balashov district"
01-Jul-16,Boeing 737-8AS (WL),EI-ENH,Ryanair,0,Bruxelles-Sud Charleroi Airport (CRL/EBCI)
01-Jul-16,Ilyushin Il-76TD,RA-76840,Russian Ministry of Emergency Situations,10,"9 km ESE Rybnyi Uyan, Kachug region"
06-Jul-16,Hawker 900XP,VT-LTA,L&T Aviation Services,0,Chennai Airport (MAA)
07-Jul-16,de Havilland Canada DHC-8-402Q Dash 8,HS-DQC,Nok Air,0,Loei Airport (LOE)
11-Jul-16,Lockheed C-130H Hercules,16804,Força Aérea Portuguesa,3,Montijo Air Base
15-Jul-16,Beechcraft B200 King Air,N111MQ,Execumed Corp.,0,San Juan-Fernando Luis Ribas Dominicci Airport (SIG)
17-Jul-16,Beechcraft 200 Super King Air,C-FCGW,Air Nunavut,0,"Iqaluit Airport, NU (YFB)"
20-Jul-16,Beechcraft B200 Super King Air,N46CE,Century Equipment Company,0,"Burnsville-Mountain Air Airport, NC"
20-Jul-16,Cessna 208B Grand Caravan EX,B-10FW,Joy General Aviation,5,off Jinshan City Beach
21-Jul-16,Cessna 208B Supervan 900,N7581F,Skydive Twin Cities,0,"Baldwin Airport, WI"
22-Jul-16,Antonov An-32,K2743,Indian Air Force - IAF,29,ca 310 km E off Chennai [Bay of Bengal]
26-Jul-16,Embraer ERJ-170SE (ERJ-170-100 SE),N655RW,United Airlines,0,"Cleveland Hopkins International Airport, OH (CLE)"
26-Jul-16,Embraer EMB-505 Phenom 300,N362FX,"Flexjet, opb Flight Options",0,"Houston-Sugar Land Regional Airport, TX (SGR)"
28-Jul-16,Airbus A321-231,N913JB,Jetblue Airways,0,Bermuda
28-Jul-16,Gulfstream G650ER,N827DC,TDC Management LLC,0,"Colorado Springs Municipal Airport, CO (COS)"
31-Jul-16,Antonov An-2R,RA-54790,Lemaks,3,"29 km E of Zelenogorskiy, Kemerovo Region"
01-Aug-16,Canadair CL-215-6B11 (CL-415),F-ZBEU,Securité Civile,0,Ajaccio-Napoleon Bonaparte Airport (AJA)
01-Aug-16,Beechcraft C99 Commuter,N234AV,Ameriflight,0,"near Spanish Fork, UT"
03-Aug-16,Airbus A319-115,N9010R,American Airlines,0,Grand Cayman Island-Owen Roberts International Airport (GCM/MWCR)
03-Aug-16,Boeing 777-31H,A6-EMW,Emirates,0+1,Dubai Airport (DXB)
04-Aug-16,Boeing 737-3H4 (WL),N368SW,Southwest Airlines,0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)"
04-Aug-16,Cessna 208B Grand Caravan,9N-AKC,Makalu Air,0,near Simikot
05-Aug-16,Boeing 737-476 (SF),HA-FAX,ASL Airlines Hungary,0,Bergamo-Orio Al Serio Airport (BGY)
07-Aug-16,Boeing 737-86J (WL),HL8253,T'Way Air,0,Seoul-Incheon International Airport (ICN/RKSI)
09-Aug-16,Boeing 737-832 (WL),N3762Y,Delta Air Lines,0,"New York-John F. Kennedy International Airport, NY (JFK)"
11-Aug-16,Antonov An-2R,RA-17812,ALROSA,0,Polyarnyj Airport (PYJ)
13-Aug-16,Airbus A320-231,EP-TTA,Atrak Air,0,Tehran-Mehrabad Airport (THR/OIII)
13-Aug-16,Cessna 500 Citation I,N70SW,Strong Tower Services LLC,0,"Fort Lauderdale-Executive Airport, FL (FXE)"
14-Aug-16,Beechcraft 200 Super King Air,,Unknown,2,"Orillas del Río Meta, Apure"
14-Aug-16,Beriev Be-200ES,RF-31121,Russian Ministry of Emergency Situations,0,near São Pedro do Sul
16-Aug-16,Cessna 550 Citation II,YV3051,private,2,near Charallave-Óscar Machado Zuloaga Airport
17-Aug-16,Boeing 737-924 (WL),N37408,United Airlines,0,"Waco, Texas"
24-Aug-16,Tupolev Tu-204S,RA-64021,Aviastar-TU,0,Noril'sk Airport (NSK)
25-Aug-16,Learjet 55,N666TK,RCR7 LLC,0,North Eleuthera International Airport (ELH)
27-Aug-16,Boeing 737-7H4 (WL),N766SW,Southwest Airlines,0,"26 km S of Biloxi, MS"
28-Aug-16,Airbus A330-323,HL8258,Asiana Airlines,0,Seoul-Incheon International Airport (ICN)
31-Aug-16,Boeing 767-322 (WL),N657UA,United Airlines,0,"over Atlantic Ocean ca 1100 km E of St. John's, Canada"
31-Aug-16,Cessna 208B Grand Caravan EX,N752RV,"Ravn Connect, opb Hageland Aviation Services",3+2,"10 km NW of Russian Mission Airport, AK (RSH)"
07-Sep-16,ATR 42-300,EI-CBK,"Aer Lingus Regional, opb Stobart Air",0,Donegal Airport (CFN/EIDL)
10-Sep-16,Embraer EMB-500 Phenom 100,PT-MMP,Patrus Transportes Urgentes Ltda.,0,"Angra dos Reis Airport, RJ (SDAG)"
10-Sep-16,Beechcraft 200 Super King Air,N369CD,Hurricane Joaquin LLC,0,"Orlando Apopka Airport, FL"
11-Sep-16,Airbus A320-214,F-HBNK,Air France,0,"Bastia-Poretta Airport, Haute-Corse 2B"
13-Sep-16,Boeing 737-347 (SF),PK-YSY,Trigana Air Service,0,Wamena Airport (WMX)
16-Sep-16,Boeing 727-2S2F Adv,9Q-CVS,Serve Air,0,Kamina
17-Sep-16,Cessna 525A CitationJet CJ2+,PR-JVF,J. R. Coffee Commerce and Export Ltda.,0,Barra Grande Airport (MUU/SIRI)
17-Sep-16,Cessna 208B Grand Caravan,CC-CTS,Servicios Aéreos Pewen,0,Puerto Montt-Marcel Marchant Airport
17-Sep-16,Antonov An-2R,RA-84566,"Technoservice-A, lsf Aviapartner",0,"5,5 km S of Tatarskoye Uraykino, Ulyanovsk region"
21-Sep-16,Beechcraft B100 King Air,N66804,"O.I.A. Enterprises, LLC",0,"Jackson-McKellar-Sipes Regional Airport, TN (MKL)"
22-Sep-16,Learjet 25D,YV1738,"WMG Techno-Logistic, C.A.",0,San Juan-Fernando Luis Ribas Dominicci Airport (SIG)
22-Sep-16,Beechcraft 200 Super King Air,ZS-KGW,Majestic Air,0,"Bray, Northern Cape"
23-Sep-16,Boeing 737-8K2 (WL),PH-HXA,Transavia Airlines,0,near waypoint LORES
24-Sep-16,de Havilland Canada DHC-8-202Q Dash 8,N366PH,"United Express, opb CommutAir",0,"Washington-Dulles International Airport, DC (IAD)"
24-Sep-16,British Aerospace 4101 Jetstream 41,9N-AIB,Yeti Airlines,0,Bhairawa Airport (BWA)
