acc. date,type,reg.,operator,fat.,location
19-Oct-24,de Havilland Canada DHC-6 Twin Otter 300,P2-KAL,Kobio Aviation,0,Kairik Airstrip
18-Oct-24,Airbus A321-271NX,TC-LTL,THY Turkish Airlines,0,Dublin Airport (DUB/EIDW)
17-Oct-24,Boeing 737 MAX 8-200,EI-HAY,Ryanair,0,Alicante Airport (ALC/LEAL)
13-Oct-24,Antonov An-3T,RA-05884,Borus Aircompany,1,"near Olyokminsk Airport (OLZ/UEMO), Republic of Sakha (Yakutia)"
12-Oct-24,Cessna 525 CitationJet,PT-FEL,Hangar 18 FBO Americana Ltda.,0,"Angra dos Reis Airport, RJ (SDAG)"
10-Oct-24,Embraer ERJ-145EP,G-SAJK,Loganair,0,Aberdeen International Airport (ABZ/EGPD)
07-Oct-24,Beechcraft C99 Commuter,N130GP,Ameriflight opb UAS Transervices Inc,1,"near Norfolk Regional/Karl Stefan Memorial Field (KOFK), Norfolk, NE"
20-Sep-24,Gulfstream G280,N621WK,Executive Jet Management opb Kellanova,0,"Boeing Field/King County International Airport (BFI/KBFI), Seattle, WA"
19-Sep-24,Boeing 757-224 (WL),N12125,United Airlines,0,"near Dunnigan, CA"
16-Sep-24,Cessna 208B Grand Caravan,5Y-ZBW,Z.Boskovic Air Charters,0,Migori Lichota Airstrip (HKMM)
14-Sep-24,Viking DHC-6-400 Twin Otter,RP-C6903,Island Aviation,0,"Pamalican Airstrip (RPUA), Pamalican Island, Cuyo Islands"
11-Sep-24,Airbus A330-941,F-HHUG,Corsair,0,Paris-Charles de Gaulle Airport (CDG/LFPG)
11-Sep-24,Airbus A330-243,C-GTSJ,Air Transat,0,Paris-Charles de Gaulle Airport (CDG/LFPG)
10-Sep-24,Airbus A350-941,N503DN,Delta Air Lines,0,"Hartsfield-Jackson Atlanta International Airport (KATL), Atlanta, GA"
10-Sep-24,Bombardier CRJ-900LR,N302PQ,"Delta Connection, opb Endeavor Air",0,"Hartsfield-Jackson Atlanta International Airport (KATL), Atlanta, GA"
09-Sep-24,ATR 42-500,PK-YSP,Trigana Air Service,0,Serui Airport (ZRI/WABO)
06-Sep-24,Boeing 787-9 Dreamliner,9V-OJD,Scoot,0,near waypoint TAMOT
04-Sep-24,Cessna 208B Grand Caravan EX,N143CA,Haugland Group Aviation LLC,0,"New York, NY"
04-Sep-24,Boeing 787-9 Dreamliner,JA863J,Japan Airlines (JAL),0,200 km east of Seoul
31-Aug-24,Airbus A350-1041,G-VPRD,Virgin Atlantic Airways,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
31-Aug-24,Airbus A330-323,N808NW,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
31-Aug-24,Antonov An-2T,RF-02346,DOSAAF,0,"between Mairamadag and Koban, Republic of North Ossetia–Alania"
29-Aug-24,Boeing 737-8FB (WL),ET-AWR,"Ceiba International, lsf Ethiopian Airlines",0,Malabo-Santa Isabel Airport (SSG/FGSL)
27-Aug-24,Boeing 767-323ER (BCF) (WL),A9C-DHAA,DHL International Aviation ME,0,Milano-Malpensa Airport (MXP/LIMC)
26-Aug-24,de Havilland Canada DHC-3T Vazar Turbine Otter,C-GMLB,NDK Air Limited,0,"Kashishibog Lake, ON"
24-Aug-24,Boeing 757-330 (WL),D-ABOL,Condor Flugdienst,0,Palma de Mallorca Airport (PMI)
23-Aug-24,Bombardier DHC-8-315Q Dash 8,VH-QQP,Maroomba Airlines,0,"Minderoo Aircraft Landing Area, WA (YMDR)"
23-Aug-24,Boeing 737-470,YA-PID,Ariana Afghan Airlines,0,Khost Airport (KHT/OAKS)
23-Aug-24,Antonov An-2R,RA-33305,Gold of Ynykchan,0,"5 km from Solnechny, Yakutia"
22-Aug-24,Cessna 208B Grand Caravan,HS-SKR,Thai Flying Service Co Ltd,9,"Wat Khao Din, Bang Pakong District, Chachoengsao Province"
20-Aug-24,Cessna 550 Citation II,N689VP,N689VP LLC,2,"Odessa-Schlemeyer Field (ODO/KODO), Odessa, TX"
19-Aug-24,Boeing 737-7BD (WL),N7734H,Southwest Airlines,0,"near Highland Meadows, NM"
19-Aug-24,Airbus A320-214 (WL),G-EJCM,easyJet,0,Italian airspace
19-Aug-24,Beechcraft 300 Super King Air 300,N600KA,FMR Leasing LLC opb Private,0,"Asheboro Regional Airport (KHBI), Asheboro, NC"
19-Aug-24,Cessna 208B Grand Caravan,5Y-BUR,Royal Skyline Ltd,0,"Mandeng area, Nasir County"
18-Aug-24,Cessna 680 Citation Sovereign,N680SA,BJR Management LLC,0,"Washington-Warren Airport (OCW/KOCW), Washington, NC"
12-Aug-24,Boeing 747-481F,N404KZ,Atlas Air,0,Tokyo/Narita International Airport (NRT/RJAA)
10-Aug-24,Cirrus SF50 Vision Jet G2+ Arrivée,N727VB,FAFO Aviation LLC,0,"Watsonville Municipal Airport (WVI/KWVI), Watsonville, CA"
09-Aug-24,ATR 72-500 (72-212A),PS-VPB,Voepass Linhas Aéreas,62,"near Vinhedo, SP"
09-Aug-24,de Havilland Canada DHC-8-311Q Dash 8,5Y-SMI,"Renegade Air, opf UN Humanitarian Air Service",0,Malakal Airport (MAK/HJMK)
08-Aug-24,Airbus A321-231,N542UW,American Airlines,0,"near Gaston, SC"
08-Aug-24,de Havilland Canada DHC-5A Buffalo,7Q-STB,Nyasa Air Charters,0+3,Pieri Payam Airstrip
07-Aug-24,Boeing 737-7H4 (WL),N226WN,Southwest Airlines,0,"Severn, MD"
05-Aug-24,Boeing 737 MAX 8,TC-LCD,THY Turkish Airlines,0,Nuremberg Albrecht Dürer Airport (NUE/EDDN)
05-Aug-24,Cessna 750 Citation X+,N750GB,Accent Stripe Inc,0,"Chautauqua County/Jamestown Airport (JWH/KJHW), Jamestown, NY"
03-Aug-24,Boeing 777-223ER,N793AN,American Airlines,0,"near Laclede, MO"
03-Aug-24,Bombardier DHC-8-402Q Dash 8,7T-VCL,Tassili Airlines,0,Illizi
31-Jul-24,Cessna 208 Caravan I,HK-3200-G,Aeronáutica Civil de Colombia,0,"Bahia Cupica Airfield, Chocó, Juradó"
24-Jul-24,Bombardier CRJ-200ER,9N-AME,Saurya Airlines,18,Kathmandu-Tribhuvan Airport (KTM/VNKT)
23-Jul-24,Learjet 35,PP-ERR,Private,2,"near Matupá Airport, MT (MBK/SWXM)"
21-Jul-24,Antonov An-2R,UP-A0141,Berkut Air Services,0,"10 km from Derzhavinsk, Zharkainsky district"
20-Jul-24,Bombardier DHC-8-402Q Dash 8,JA858A,Oriental Air Bridge,0,Tsushima Airport (TSJ/RJDT)
20-Jul-24,Hawker 900XP,N526FC,Swamp Bird LLC opb Corporate Air Charters LLC,0,"Telluride Regional Airport (TEX/KTEX), Telluride, CO"
20-Jul-24,Cessna 208B Grand Caravan,N1259K,Skydive the Falls,1,"Youngstown, NY"
16-Jul-24,Airbus A320-232 (WL),N633NK,Spirit Airlines,0,"Orlando International Airport, FL (MCO)"
15-Jul-24,ATR 72-600 (72-212A),YR-ATJ,TAROM,0,Oradea International Airport (LROD)
15-Jul-24,Britten-Norman BN-2A Islander,YJ-AT2,Air Taxi Vanuatu,1,SE of Port Vila-Bauerfield Airport (VLI)
14-Jul-24,Airbus A320-214,9H-VDS,"Binter Canarias, lsf Galistar Malta",0,La Coruña Airport (LCG/LECO)
12-Jul-24,Sukhoi Superjet 100-95LR,RA-89049,Gazpromavia,3,"Ozyorsky District, Moskow Region"
05-Jul-24,Antonov An-2R,RA-40983,Wings of Taiga,0,Khiloksky district of Transbaikal Territory
02-Jul-24,Airbus A330-343,T7-MMM,"Garuda Indonesia, lsf San Marino Executive Aviation",0,NE of Jakarta
01-Jul-24,Boeing 787-9 Dreamliner,EC-MTI,Air Europa,0,"NE of Natal, Brazil"
30-Jun-24,Cessna 525 Citation CJ1+,N865HC,Hollingsworth Intergalactic LLC,0,"Richmond International Airport (Byrd Field) (RIC/KRIC), Richmond, VA"
28-Jun-24,Bombardier DHC-8-402Q Dash 8,C-GLQP,Porter Airlines,0,"Fredericton Airport, NB (YFC/CYFC)"
28-Jun-24,Cessna 560XL Citation XLS,OE-GZK,International Jet Management,0,Amsterdam-Schiphol International Airport (AMS/EHAM)
27-Jun-24,Airbus A320-271N,ES-MBC,Marabu Airlines,0,München-Franz Josef Strauss Airport (MUC/EDDM)
20-Jun-24,Cessna 208B Supervan 900,OO-SEX,SkyDive Spa,0,Spa-La Sauvenière Airfield (EBSP)
17-Jun-24,Boeing 767-316(ER)(BDSF),C-FCJU,Cargojet Airways,0,"Indianapolis, IN"
14-Jun-24,Antonov An-26-100,RA-26662,UTair Aviation,0,1 km from Utrenny Airport (USDM)
10-Jun-24,Dornier 228-202K,MAF-T03,Malawi Air Force (MAF),9,"Chikangawa Forest Reserve, Mzimba District"
07-Jun-24,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0,"Río Gallegos International Airport, SC (RGL/SAWG)"
04-Jun-24,Bombardier DHC-8-402Q Dash 8,C-FWEW,WestJet Encore,0,"Calgary International Airport, AB (YYC/CYYC)"
04-Jun-24,Airbus A319-132,HS-PGN,Bangkok Airways,0,Koh Samui Airport (USM)
31-May-24,Airbus A330-203,F-GZCL,Air France,0,N'Djamena Airport (NDJ/FTTJ)
29-May-24,Embraer ERJ-190STD,PH-EZL,KLM Cityhopper,0+1,Amsterdam-Schiphol International Airport (AMS/EHAM)
26-May-24,Boeing 787-9 Dreamliner,A7-BHM,Qatar Airways,0,Turkish airspace
21-May-24,Cirrus SF50 Vision Jet G2+ Xi,N18YF,JGM Aviation LLC,0,"David Wayne Hooks Memorial Airport (DWH/KDWH), Houston, TX"
21-May-24,Boeing 777-312ER,9V-SWM,Singapore Airlines,1,over Irrawaddy Basin Myaungmya District
20-May-24,Boeing 757-330 (WL),D-ABOB,Condor Flugdienst,0,Frankfurt International Airport (FRA/EDDF)
19-May-24,Airbus A330-343,HL8502,T'way Air,0,60NM SE of Beijing Airport
19-May-24,Airbus A320-214,RA-73832,Ural Airlines,0,Ekaterinburg-Koltsovo Airport (SVX/USSS)
09-May-24,Beechcraft B200 Super King Air,YV3296,Latino Americana de la Construcción,8,"Lake Maracaibo, Zulia"
09-May-24,Boeing 737-85R (WL),9H-TJF,Corendon Airlines,0,Gazipasa-Alanya Airport (GZP/LTFG)
09-May-24,Boeing 737-38J,6V-AJE,"Transair, opf Air Senegal",0,Dakar-Blaise Diagne International Airport (DSS)
05-May-24,Boeing 737-3Y0 (BDSF),9S-AKK,Serve Air Cargo,0,Kinshasa-N'Djili Airport (FIH)
05-May-24,Fokker 50,D6-AIB,R'Komor,0,Mohéli Bandar Es Salam Airport (NWA)
04-May-24,Boeing 737-838 (WL),VH-VYK,Qantas,0,"19.4 NM SE of Brisbane International Airport, QLD (BNE)"
03-May-24,Airbus A330-243,A4O-DA,"Qatar Airways, lsf Oman Air",0,over Ethiopia
03-May-24,Embraer ERJ-145LR,N942JX,JSX,0,"Houston-William P. Hobby Airport (HOU/KHOU), Houston, TX"
03-May-24,Antonov An-2R,UP-A0124,Navigator,0,near Arkalyk Airport (AYK/UAUR)
26-Apr-24,Boeing 757-232 (WL),N6703D,Delta Air Lines,0,"near Hogansville, GA"
25-Apr-24,Cessna 208 Caravan I,F-GUTS,C2C Aviation,0,near Gap-Tallard Airfield (GAT)
23-Apr-24,Douglas C-54D-DC (DC-4),N3054V,Alaska Air Fuel,2,"near Fairbanks International Airport (FAI), Fairbanks, AK"
23-Apr-24,Learjet 75,PP-DYB,Cimed & Co SA,0,"Erechim Airport (ERM), RS"
22-Apr-24,Short C-23B+ Sherpa,N163Z,US Forest Service (USFS),0,"Hamilton-Ravalli County Airport (HRF), Hamilton, MT"
22-Apr-24,Cessna 500 Citation I,XB-CSI,DGA Grupo de Consultoría Legal,0,"Monterrey-Del Norte International Airport (NTR/MMAN), Apocada, NL"
16-Apr-24,Boeing 787-9 Dreamliner,ZK-NZC,Air New Zealand,0,SE of Bali
13-Apr-24,Bombardier DHC-8-402Q Dash 8,C-GJWE,WestJet Encore,0,"Calgary International Airport, AB (YYC/CYYC)"
12-Apr-24,Cessna 525 Citation M2,N22S,HS Flugcharter GmbH,0,"Montreal-St Hubert Airport, QC (YHU/CYHU)"
09-Apr-24,Beechcraft B300 King Air 350,N243MH,Allen Contracting Inc,0,"Wiley Post Airport (PWA/KPWA), Oklahoma City, OK"
07-Apr-24,Boeing 737 MAX 8,C-FSDQ,Air Canada,0,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)"
07-Apr-24,Cessna 208 Caravan I,N90JF,"ISR Aviation LLC, opb Connecticut Parachutists Inc",0,"Ellington Airport (7B9), Ellington, CT"
03-Apr-24,Boeing 717-2BD,N899AT,Delta Air Lines,0,"near Cecil, NC"
03-Apr-24,Boeing 737-7CT WL),N567WN,Southwest Airlines,0,over Gulf of Mexico
01-Apr-24,Boeing 787-8 Dreamliner,JA843J,Japan Airlines (JAL),0,150 km SE of Tokyo/Narita International Airport (NRT/RJAA)
31-Mar-24,Boeing 727-2Q9 (F),5Y-IRE,Safe Air Company (SAC),0,Malakal Airport (MAK/HJMK)
30-Mar-24,de Havilland Canada DHC-8-314 (F) Dash 8,C-GAIW,Air Inuit Cargo,0,Kangiqsujuaq Airport (YWB/CYKG)
27-Mar-24,Boeing 757-232 (WL),N6705Y,Delta Air Lines,0,"near Lakeland, GA"
23-Mar-24,Boeing 767-338ER (BDSF),N372CM,"DHL Aviation, opb ABX Air",0,Panama City-Tocumen International Airport (PTY)
20-Mar-24,Boeing 787-9 Dreamliner,JA891A,All Nippon Airways - ANA,0,55 km S of Tokyo/Narita International Airport (NRT/RJAA)
19-Mar-24,Antonov An-26,AVIONS-401,South Sudanese Air Force,0,Yida Airstrip
17-Mar-24,Let L-410UVP,9S-GPB,Cetraca Aviation Service,0,Butembo Airport (FZBM)
14-Mar-24,Boeing 737-8H4 (WL),N8520Q,Southwest Airlines,0,"Como, TN"
12-Mar-24,Ilyushin Il-76MD,RF-76551,Russian Air Force,16,"near Ivanovo Severny Air Base, Ivanovo Oblast"
11-Mar-24,Boeing 787-9 Dreamliner,CC-BGG,LATAM Airlines Chile,0,over Tasman Sea
10-Mar-24,IAI 1125 Astra SP,N1125A,SkyJet Elite,5,"near Ingalls Field Airport (KHSP), Hot Springs, VA"
09-Mar-24,Boeing 737-7H4 (WL),N411WN,Southwest Airlines,0,"near Aylett, VA"
09-Mar-24,Lockheed L-100-30 Hercules,5X-SBR,,0,Jowhar Airport (HCJH)
08-Mar-24,Boeing 737 MAX 8,N27290,United Airlines,0,"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)"
06-Mar-24,Cessna 208B Grand Caravan,PR-AAB,Polícia Federal Brasil,2,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)"
05-Mar-24,Cessna 208B Grand Caravan EX,9S-EBT,AB Airlines,1,Katchungu-Tchambogo Airstrip
05-Mar-24,de Havilland Canada DHC-8-315Q,5Y-SLK,Safarilink Aviation,0+2,near Nairobi-Wilson Airport (HKNW)
03-Mar-24,Fairchild SA227-AT Expediter,N563TR,Kolob Canyons Air Services,0,"Smyrna Airport (MQY/KMQY), Liberty, TN"
